ranker,player,pos,age,team_id,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,player-additional
174,Pascal Siakam,PF,30,IND,9,9,281,68,119,.571,13,29,.448,55,90,.611,.626,18,27,.667,6,48,54,26,8,2,12,29,167,siakapa01
175,Ben Simmons,PG,28,LAC,5,0,42,2,6,.333,0,0,,2,6,.333,.333,0,0,,3,4,7,4,1,4,2,11,4,simmobe01
176,Jericho Sims,C,26,MIL,5,0,58,6,6,1.000,0,0,,6,6,1.000,1.000,2,3,.667,11,9,20,1,0,1,5,5,14,simsje01
177,Jabari Smith Jr.,PF,21,HOU,7,0,143,17,34,.500,10,22,.455,7,12,.583,.647,8,10,.800,7,20,27,4,1,5,10,6,52,smithja05
178,Pat Spencer,PG,28,GSW,7,0,57,15,23,.652,1,2,.500,14,21,.667,.674,3,3,1.000,4,6,10,5,3,0,4,8,34,spencpa01
179,Lamar Stevens,PF,27,MEM,2,0,12,2,9,.222,0,3,.000,2,6,.333,.222,0,0,,0,4,4,1,0,0,1,1,4,stevela01
180,Isaiah Stewart,C,23,DET,1,0,19,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,4,5,1,0,2,0,5,2,stewais01
181,Julian Strawther,SG,22,DEN,6,0,41,5,12,.417,2,4,.500,3,8,.375,.500,2,3,.667,2,0,2,1,0,1,2,7,14,strawju01
182,Max Strus,SF,28,CLE,8,8,227,37,80,.463,26,61,.426,11,19,.579,.625,5,6,.833,13,31,44,33,6,2,7,19,105,strusma01
183,Jayson Tatum,PF,26,BOS,8,8,322,74,175,.423,29,78,.372,45,97,.464,.506,48,54,.889,9,83,92,43,17,6,26,21,225,tatumja01
184,Amen Thompson,SF,22,HOU,7,7,231,42,85,.494,1,4,.250,41,81,.506,.500,25,36,.694,19,29,48,23,12,6,12,18,110,thompam01
185,Ausar Thompson,SF,22,DET,6,6,135,24,42,.571,0,2,.000,24,40,.600,.571,21,36,.583,8,23,31,6,7,5,11,25,69,thompau01
186,Tristan Thompson,C,33,CLE,3,0,29,3,6,.500,0,0,,3,6,.500,.500,1,3,.333,2,13,15,1,1,2,2,2,7,thomptr01
187,Obi Toppin,PF,26,IND,9,0,148,31,59,.525,9,25,.360,22,34,.647,.602,9,14,.643,4,18,22,15,6,2,7,16,80,toppiob01
188,Karl-Anthony Towns,C,29,NYK,10,10,365,75,152,.493,13,35,.371,62,117,.530,.536,34,37,.919,22,94,116,12,8,10,19,45,197,townska01
189,Gary Trent Jr.,SG,26,MIL,5,3,171,32,62,.516,22,44,.500,10,18,.556,.694,8,10,.800,1,10,11,6,13,0,3,9,94,trentga02
190,Myles Turner,C,28,IND,9,9,276,52,101,.515,17,38,.447,35,63,.556,.599,34,42,.810,11,42,53,13,7,21,11,23,155,turnemy01
191,Hunter Tyson,PF,24,DEN,4,0,21,3,7,.429,0,3,.000,3,4,.750,.429,4,4,1.000,2,3,5,1,1,0,1,1,10,tysonhu01
192,Jaylon Tyson,SG,22,CLE,4,0,31,7,15,.467,5,9,.556,2,6,.333,.633,5,6,.833,3,4,7,7,2,1,2,4,24,tysonja01
193,Jarred Vanderbilt,PF,25,LAL,5,0,60,2,6,.333,0,1,.000,2,5,.400,.333,3,4,.750,4,15,19,5,3,1,3,9,7,vandeja01
194,Fred VanVleet,PG,30,HOU,7,7,280,40,93,.430,27,62,.435,13,31,.419,.575,24,24,1.000,3,26,29,31,7,2,13,16,131,vanvlfr01
195,Gabe Vincent,PG,28,LAL,5,0,99,5,14,.357,4,13,.308,1,1,1.000,.500,0,0,,0,5,5,5,1,2,1,8,14,vincega01
196,Dean Wade,PF,28,CLE,8,1,123,4,15,.267,3,13,.231,1,2,.500,.367,0,0,,8,24,32,6,3,1,2,6,11,wadede01
197,Franz Wagner,SF,23,ORL,5,5,195,51,115,.443,7,37,.189,44,78,.564,.474,20,26,.769,3,21,24,28,6,2,10,16,129,wagnefr01
198,Jarace Walker,PF,21,IND,9,0,96,10,29,.345,6,16,.375,4,13,.308,.448,2,4,.500,0,19,19,8,1,1,5,8,28,walkeja02
199,Cason Wallace,SG,21,OKC,8,0,158,16,35,.457,7,17,.412,9,18,.500,.557,1,2,.500,8,14,22,18,9,2,5,21,40,wallaca01
200,Jordan Walsh,PF,20,BOS,3,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,walshjo01
201,Kel'el Ware,C,20,MIA,4,4,73,8,18,.444,3,11,.273,5,7,.714,.528,0,0,,4,15,19,4,1,2,2,3,19,wareke01
202,Peyton Watson,SF,22,DEN,11,0,150,21,40,.525,6,11,.545,15,29,.517,.600,4,10,.400,8,18,26,2,8,7,4,15,52,watsope01
203,Russell Westbrook,PG,36,DEN,10,0,254,46,111,.414,18,53,.340,28,58,.483,.495,24,34,.706,14,22,36,29,11,0,20,35,134,westbru01
204,Derrick White,SG,30,BOS,9,9,345,56,120,.467,31,83,.373,25,37,.676,.596,22,25,.880,14,38,52,35,6,9,10,17,165,whitede01
205,Cam Whitmore,SF,20,HOU,3,0,5,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,whitmca01
206,Aaron Wiggins,SG,26,OKC,8,0,112,27,54,.500,11,27,.407,16,27,.593,.602,6,7,.857,8,15,23,4,4,1,6,7,71,wiggiaa01
207,Andrew Wiggins,SF,29,MIA,4,4,122,16,43,.372,7,20,.350,9,23,.391,.453,7,10,.700,4,9,13,9,1,5,11,6,46,wiggian01
208,Jalen Williams,SG,23,OKC,8,8,277,63,137,.460,11,45,.244,52,92,.565,.500,31,41,.756,9,29,38,42,11,7,12,13,168,willija06
209,Jaylin Williams,PF,22,OKC,8,0,71,8,14,.571,5,10,.500,3,4,.750,.750,2,5,.400,1,10,11,6,3,2,5,16,23,willija07
210,Jeenathan Williams,SG,25,HOU,3,0,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,1,0,willije02
211,Kenrich Williams,PF,30,OKC,3,0,29,4,14,.286,0,6,.000,4,8,.500,.286,2,2,1.000,2,10,12,2,4,0,2,2,10,willike04
212,Vince Williams Jr.,SG,24,MEM,3,0,38,4,7,.571,4,7,.571,0,0,,.857,2,2,1.000,1,6,7,4,2,1,3,3,14,willivi01
213,Delon Wright,PG,32,NYK,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,wrighde01
214,Ivica Zubac,C,27,LAC,7,7,256,54,82,.659,0,0,,54,82,.659,.659,14,26,.538,27,44,71,16,5,7,11,19,122,zubaciv01
